Feature,OKBQA DM CLS,CLSNLIWOD
implicit class,0.4590355147,0.2609617596
explicit class,0.7236615994,0.4889681862
wc=0 or 1,0.6063178387,0.399558319
wc=2,0.7222570533,0.4481792717
wc=3,0.9361702128,0.6740740741
