Feature,OKBQA DM CLS,CLSNLIWOD
implicit class,0.5372340426,0.2819148936
explicit class,0.8096446701,0.5253807107
wc=0 or 1,0.6863636364,0.4295454545
wc=2,0.8181818182,0.4848484848
wc=3,1,0.7
